rank_category,rank_yest,rank_tag,rank_7day,rank_name,rank_kind,rank_hist
zongyi,,,"273,763,791",极限挑战之疯狂的石头2 黄磊智商碾压全场,,
zongyi,,,"171,366,950",欢乐喜剧人之沈腾致敬卓别林 贾玲变紫霞仙子,,
zongyi,,,"134,759,706",爸爸回来了2之甜馨受捧乃爸吃醋 奥莉游迪士尼,,
zongyi,,,"114,084,006",我去上学啦之钟汉良学霸人生惨遭滑铁卢,,
zongyi,,,"52,576,512",我们相爱吧之任重强颜欢笑陪林心如圆梦,,
zongyi,,,"46,815,927",极速前进2之吴昕为韩庚泪崩 邓紫棋惨摔47跤,,
zongyi,,,"36,702,644",奇葩说第2季之“该不该向父母出柜”引全场落泪,,
zongyi,,,"32,374,219",极限挑战之王迅海岛被抛弃 黄磊提问逼疯小猪,,
zongyi,,,"21,702,082",非诚勿扰之陆毅现场背词 获称娱圈最强大脑,,
zongyi,,,"21,108,451",奇葩说第2季之蔡康永金星抱团对决女神高晓松,,
zongyi,,,"20,569,066",无限挑战之无挑歌谣祭 在石热唱BAEBAE模仿TOP,,
zongyi,,,"20,345,940",奔跑吧兄弟第2季之强者之争 晨赫反目郑恺逆袭,,
zongyi,,,"20,140,859",欢乐喜剧人之贾玲变周芷若 宋小宝“专业”碰瓷,,
zongyi,,,"15,373,676",极限挑战之孙红雷黄磊,,
zongyi,,,"11,206,287",极限挑战之黄磊载客女粉丝围攻 黄渤送快递被拒,,
zongyi,,,"10,585,227",极速前进先导片之众明星的可怕精神力量,,
zongyi,,,"8,993,928",极限挑战之小猪改纸箱带金条 张艺兴卖唱赚路费,,
zongyi,,,"8,412,824",爸爸回来了2之甜馨尽显导演范 嗯哼秀涂鸦,,
zongyi,,,"8,334,760",我们结婚了之'宣言'结婚典礼 '星宿'入住新房,,
zongyi,,,"5,754,207",欢乐喜剧人之高晓攀演绎兄弟情 修睿引面子风波,,
zongyi,,,"5,503,914",如果爱之伦硕装毛毛熊街上跳舞感动丽媞,,
zongyi,,,"4,900,165",爱情保卫战之分手背后的秘密,,
zongyi,,,"4,900,061",欢乐喜剧人之宋小宝反串嬛嬛 贾玲变大姐大,,
zongyi,,,"4,243,578",爱情保卫战之男子藏着女儿的交往,,
zongyi,,,"4,052,222",奇葩说第2季之女神柳岩再降临 导师鲜肉照曝光,,
zongyi,,,"3,951,546",奔跑吧兄弟第2季之野蛮女友特辑 蒋欣嫌弃陈赫,,
zongyi,,,"3,902,419",欢乐喜剧人之乔杉催泪演,,
zongyi,,,"3,883,713",如果爱之张伦硕耍浪漫 钟丽缇难招架,,
zongyi,,,"3,666,615",我们相爱吧之心如好友考察任重 石榴CP体验民俗,,
zongyi,,,"3,493,784",爱情保卫战之我无法忍受你不在我身边,,
zongyi,,,"3,468,287",欢乐喜剧人之宋小宝演韩剧笑抽贾玲,,
zongyi,,,"3,292,056",奔跑吧兄弟第2季之浪漫塞班 唐嫣柳岩草裙斗舞,,
zongyi,,,"3,274,740",非诚勿扰之最帅韩国小伙&陆毅T台秀 引哄抢,,
zongyi,,,"3,072,694",欢乐喜剧人之小沈阳文松演绎上海滩恩怨,,
zongyi,,,"2,842,292",武林风之入云龙遭泰拳手“莽星”狙击,,
zongyi,,,"2,529,274",欢乐喜剧人之宋小宝搬救兵 贾玲状况百出,,
zongyi,,,"2,501,994",爱情保卫战之你的改变让我看不到未来,,
zongyi,,,"2,485,935",出发吧爱情之李承铉戚薇赢得最终童话,,
zongyi,,,"2,347,077",奇葩说第2季之二手性学家柏邦妮接受开放式婚姻,,
zongyi,,,"2,239,816",无限挑战之假面无挑会 GD太阳民乐唱法骗众人,,
zongyi,,,"2,238,185",奇葩说第2季之肖骁战周思成好友恋人出轨请闭嘴,,
zongyi,,,"2,115,028",奔跑吧兄弟之Baby与偶像权志龙同台 害羞捂脸,,
zongyi,,,"1,978,916",爸爸回来了2之甜馨被嫌黑再飙金句 我们白着呢,,
zongyi,,,"1,924,742",欢乐喜剧人之贾玲化身最胖聂小倩,,
zongyi,,,"1,878,041",奇葩说第2季之吴铮真自曝阅男人无数找经验少的,,
zongyi,,,"1,873,025",如果爱之李光洙熊黛林配对 范世琦变霸道总裁,,
zongyi,,,"1,818,439",爸爸回来了2之杜江壁咚嗯哼 馨奥尔良再合体,,
zongyi,,,"1,772,246",最美和声之八强争夺战 萧敬腾泪洒现场,,
zongyi,,,"1,767,028",欢乐喜剧人之吴君如补位与波叔玩亲亲,,
zongyi,,,"1,678,747",爸爸回来了2之甜馨奥莉不舍分别 嗯哼,,
